OID_,GHG_QUANTITY__METRIC_TONS_CO2e_,Capital Costs,O/M Costs,Variable Costs,TYPE
1,11076876,775381320,31015252.8,60,Refineries
2,10433780,573857900,22954316,60,"Power Plant, NG"
3,4869641,282439178,11297567.12,55,Refineries
4,4535617,263065786,10522631.44,55,Chemical
5,4097366,40973660,1638946.4,20,Petroleum and Natural Gas Systems
6,4041179,169729518,6789180.72,55,Power Plant
7,3903627,210795858,8431834.32,55,Refineries
8,3883442,209705868,8388234.72,55,Refineries
9,3320589,29885301,1195412.04,18,Petroleum and Natural Gas Systems
10,3312402,178869708,7154788.32,53,Refineries
11,3310561,132422440,5296897.6,50,Power Plant
12,2854833,114193320,4567732.8,50,Power Plant
13,2716827,105956253,4238250.12,50,Power Plant